,Fiyat,Brüt Metrekare,yaş,bina_kat,Kullanım,tarih,tipi,Net Metrekare,oda sayısı,kaçıncı kat,ısıtma
260,1850000,310 M2,0 (Yeni),4,Boş,31 Aralık 2022,Konut,300 M2,6+1,4.Kat,Kombi Doğalgaz
262,5500000,164 M2,0 (Yeni),3,Boş,28 Aralık 2022,Konut,140 M2,4+1,Villa Tipi,Klimalı
264,6200000,345 M2,11-15,3,Mülk Sahibi Oturuyor,28 Aralık 2022,Konut,275 M2,3+2,Düz Giriş,Kombi Doğalgaz
266,1625000,134 M2,5-10,6,Mülk Sahibi Oturuyor,28 Aralık 2022,Konut,120 M2,2+1,4.Kat,Kombi Doğalgaz
268,630000,110 M2,21 Ve Üzeri,5,Boş,31 Aralık 2022,Konut,90 M2,2+1,5.Kat,Doğalgaz Sobalı
270,640000,130 M2,21 Ve Üzeri,4,Boş,27 Aralık 2022,Konut,120 M2,3+1,4.Kat,Kombi Doğalgaz
272,600000,100 M2,21 Ve Üzeri,5,Kiracı Oturuyor,27 Aralık 2022,Konut,92 M2,2+1,3.Kat,Kombi Doğalgaz
274,800000,48 M2,1,4,Kiracı Oturuyor,27 Aralık 2022,Konut,31 M2,1+1,1.Kat,Yerden Isıtma
276,1149000,55 M2,1,5,Kiracı Oturuyor,27 Aralık 2022,Konut,40 M2,2+1,3.Kat,Kombi Doğalgaz
278,960000,75 M2,5-10,4,Boş,27 Aralık 2022,Konut,65 M2,2+1,4.Kat,Kombi Doğalgaz
280,700000,110 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,27 Aralık 2022,Konut,100 M2,2+1,1.Kat,Kombi Doğalgaz
282,2300000,280 M2,11-15,6,Kiracı Oturuyor,26 Aralık 2022,Konut,250 M2,4+2,5.Kat,Kombi Doğalgaz
284,1600000,135 M2,5-10,3,Mülk Sahibi Oturuyor,26 Aralık 2022,Konut,120 M2,3+1,3.Kat,Kombi Doğalgaz
286,620000,90 M2,21 Ve Üzeri,6,Kiracı Oturuyor,24 Aralık 2022,Konut,80 M2,2+1,2.Kat,Doğalgaz Sobalı
288,1800000,257 M2,4,3,Mülk Sahibi Oturuyor,24 Aralık 2022,Konut,200 M2,4+1,2.Kat,Kombi Doğalgaz
290,1300000,140 M2,0 (Yeni),6,Boş,25 Aralık 2022,Konut,120 M2,3+1,Düz Giriş,Yerden Isıtma
292,1550000,95 M2,21 Ve Üzeri,6,Boş,31 Aralık 2022,Konut,75 M2,2+1,4.Kat,Merkezi Doğalgaz
294,1250000,120 M2,4,3,Mülk Sahibi Oturuyor,25 Aralık 2022,Konut,100 M2,3+1,1.Kat,Kombi Doğalgaz
296,1400000,160 M2,4,3,Kiracı Oturuyor,24 Aralık 2022,Konut,150 M2,3+1,3.Kat,Kombi Doğalgaz
298,1300000,110 M2,4,2,Boş,24 Aralık 2022,Konut,100 M2,2+1,1.Kat,Kombi Doğalgaz
300,840000,100 M2,0 (Yeni),7,Boş,24 Aralık 2022,Konut,95 M2,3+1,3.Kat,Kombi Doğalgaz
302,1540000,115 M2,5-10,5,Boş,24 Aralık 2022,Konut,95 M2,2+1,2.Kat,Kombi Doğalgaz
304,1575000,185 M2,0 (Yeni),2,Boş,23 Aralık 2022,Konut,145 M2,3+1,2.Kat,Kombi Doğalgaz
306,650000,65 M2,21 Ve Üzeri,8,Mülk Sahibi Oturuyor,30 Aralık 2022,Konut,60 M2,1+1,Bahçe Katı,Sobalı
308,2150000,130 M2,5-10,4,Kiracı Oturuyor,23 Aralık 2022,Konut,110 M2,3+1,1.Kat,Kombi Doğalgaz
310,790000,55 M2,5-10,4,Kiracı Oturuyor,23 Aralık 2022,Konut,50 M2,1+1,2.Kat,Kombi Doğalgaz
312,700000,60 M2,5-10,4,Kiracı Oturuyor,23 Aralık 2022,Konut,55 M2,1+1,Yüksek Giriş,Kombi Doğalgaz
314,19990001,176 M2,5-10,4,Mülk Sahibi Oturuyor,23 Aralık 2022,Konut,150 M2,3+1,3.Kat,Kombi Doğalgaz
316,6900003,140 M2,21 Ve Üzeri,2,Boş,23 Aralık 2022,Konut,100 M2,2+1,Yüksek Giriş,Doğalgaz Sobalı
318,1300000,154 M2,0 (Yeni),4,Boş,23 Aralık 2022,Konut,130 M2,3+1,2.Kat,Kombi Doğalgaz
320,430000,120 M2,16-20,4,Boş,23 Aralık 2022,Konut,110 M2,2+1,Yüksek Giriş,Sobalı
322,1450000,96 M2,0 (Yeni),3,Boş,22 Aralık 2022,Konut,85 M2,2+1,1.Kat,Kombi Doğalgaz
324,2060000,133 M2,3,13,Kiracı Oturuyor,22 Aralık 2022,Konut,110 M2,3+1,5.Kat,Kombi Doğalgaz
326,3300000,125 M2,4,6,Kiracı Oturuyor,23 Aralık 2022,Konut,110 M2,2+1,2.Kat,Yerden Isıtma
