Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Durumu,Site İçerisinde,Banyo Sayısı,Fiyat Durumu,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Tapu Durumu,Eşya Durumu,Konum,Fiyat
120,6,-1,5,1,2,0,2,3,0,145,8,6,3,0,11,3550000
50,2,4,4,1,2,1,1,3,0,60,6,5,3,1,6,1590000
135,6,1,4,1,2,1,2,3,0,145,2,5,3,0,6,1950000
240,14,5,4,1,2,1,3 ,3,0,260,3,5,1,0,11,3650000
66,2,5,1,1,2,0,1,3,0,75,5,5,3,0,8,779000
70,2,1,4,1,2,1,1,3,0,90,8,4,3,0,9,1690000
100,2,3,4,1,2,1,1 ,3,0,110,5,5,1,0,12,1375000
45,2,3,4,1,2,1,1,3,0,55,8,5,3,1,6,1350000
110,6,3,4,1,2,1,1 ,1,0,120,5,5,1,0,11,2150000
90,2,4,4,1,2,1,1,3,0,95,5,5,4,0,4,1560000
