,Fiyat,Yaş,Bina Kat,Net Metrekare,Oda Sayısı,Kaçıncı Kat,7_Dubleks,7_Konut,7_Müstakil,7_Villa,11_Doğalgaz Sobalı,11_Kat Kaloriferi,11_Klimalı,11_Kombi Doğalgaz,11_Kombi Fueloil,11_Merkezi,11_Sobalı,11_Yerden Isıtma
223,4250000,25,5,170,10,5,0,0,1,0,1,0,0,0,0,0,0,0
224,750000,25,3,120,4,3,0,1,0,0,0,0,0,1,0,0,0,0
225,950000,25,5,110,4,2,0,1,0,0,0,0,0,1,0,0,0,0
226,6850000,8,4,160,10,4,0,0,1,0,0,0,0,1,0,0,0,0
227,2200000,25,3,105,3,3,0,1,0,0,0,0,0,1,0,0,0,0
228,475000,25,6,100,3,2,0,1,0,0,0,0,0,1,0,0,0,0
229,1725000,1,3,230,5,3,0,1,0,0,0,0,0,1,0,0,0,0
230,925000,25,4,165,5,4,0,1,0,0,0,0,0,1,0,0,0,0
231,6950000,0,3,200,6,3,0,0,0,1,0,0,0,1,0,0,0,0
232,2650000,2,5,128,4,3,0,1,0,0,0,0,0,0,0,0,0,1
233,2850000,8,4,235,6,4,1,0,0,0,0,0,0,1,0,0,0,0
234,1340000,2,3,200,5,3,0,1,0,0,0,0,0,1,0,0,0,0
235,2150000,4,4,100,3,2,0,1,0,0,0,0,0,1,0,0,0,0
236,2550000,4,5,145,4,5,1,0,0,0,0,0,0,1,0,0,0,0
237,1120000,25,4,140,4,3,0,1,0,0,0,0,0,1,0,0,0,0
238,650000,18,5,80,3,1,0,1,0,0,0,0,0,1,0,0,0,0
239,580000,25,5,60,2,3,0,1,0,0,1,0,0,0,0,0,0,0
240,830000,25,5,90,3,1,0,1,0,0,0,0,0,1,0,0,0,0
241,1350000,25,5,85,3,3,0,1,0,0,0,0,0,1,0,0,0,0
242,1975000,8,7,117,4,3,0,1,0,0,0,0,0,1,0,0,0,0
243,2350000,8,5,300,6,5,0,1,0,0,0,0,0,1,0,0,0,0
244,375000,25,2,65,2,1,0,1,0,0,0,0,1,0,0,0,0,0
245,890000,4,6,65,3,2,0,1,0,0,0,0,0,1,0,0,0,0
246,2100000,8,6,140,4,2,0,1,0,0,0,0,0,1,0,0,0,0
247,1650000,25,5,140,5,4,0,1,0,0,0,0,0,1,0,0,0,0
248,2500000,0,6,284,7,5,0,1,0,0,0,0,0,1,0,0,0,0
249,1100000,25,6,90,3,6,0,1,0,0,0,0,0,0,0,0,1,0
250,780000,25,3,65,2,3,0,1,0,0,0,0,0,1,0,0,0,0
251,990000,8,7,85,3,5,0,1,0,0,0,0,0,0,0,1,0,0
252,935000,25,2,80,3,2,0,0,1,0,0,0,0,1,0,0,0,0
253,625000,13,5,90,4,-1,0,1,0,0,0,0,0,1,0,0,0,0
254,1700000,25,4,90,3,3,0,1,0,0,1,0,0,0,0,0,0,0
255,1490000,3,15,63,2,1,0,1,0,0,0,0,0,1,0,0,0,0
256,3000000,3,15,157,5,8,0,1,0,0,0,0,0,1,0,0,0,0
